,Date,FGM,CLOSE_DEF_DIST
92953,2014-12-05,1,2.4
92954,2014-12-05,0,6.0
92955,2014-12-05,1,4.4
92956,2014-12-05,1,3.2
92957,2014-12-05,1,4.5
92958,2014-12-05,0,0.5
92959,2014-12-05,0,4.8
92960,2014-12-05,1,4.7
92961,2014-12-05,0,0.7
92962,2014-12-03,0,4.5
92963,2014-12-03,1,3.0
92964,2014-12-03,1,1.9
92965,2014-12-03,1,5.6
92966,2014-12-03,1,4.8
92967,2014-12-03,0,6.1
92968,2014-12-03,0,1.9
92969,2014-12-03,0,5.5
92970,2014-12-03,1,3.4
92971,2014-12-03,0,2.5
92972,2014-12-03,1,2.5
92973,2014-11-29,0,2.0
92974,2014-11-29,0,3.8
92975,2014-11-29,1,1.9
92976,2014-11-29,1,5.6
92977,2014-11-29,0,2.4
92978,2014-11-29,1,4.8
92979,2014-11-29,0,1.2
92980,2014-11-29,1,4.4
92981,2014-11-29,1,2.8
92982,2014-11-29,1,3.4
92983,2014-11-29,1,2.6
92984,2014-11-29,1,3.7
92985,2014-11-29,1,2.1
92986,2014-11-29,0,4.3
92987,2014-11-28,0,3.6
92988,2014-11-28,1,4.4
92989,2014-11-28,1,2.1
92990,2014-11-28,1,5.2
92991,2014-11-28,0,4.0
92992,2014-11-28,0,4.4
92993,2014-11-28,0,9.9
92994,2014-11-28,1,1.6
92995,2014-11-28,1,2.2
92996,2014-11-28,0,4.5
92997,2014-11-28,0,0.2
92998,2014-11-28,0,3.1
92999,2014-11-26,0,3.7
93000,2014-11-26,1,1.4
93001,2014-11-26,0,3.3
93002,2014-11-26,1,6.1
93003,2014-11-26,1,5.7
93004,2014-11-26,1,3.5
93005,2014-11-26,0,2.8
93006,2014-11-26,0,0.0
93007,2014-11-26,1,4.1
93008,2014-11-26,0,2.8
93009,2014-11-26,0,5.3
93010,2014-11-26,0,1.3
93011,2014-11-26,0,0.9
93012,2014-11-26,0,4.4
93013,2014-11-26,0,4.0
93014,2014-11-26,0,3.6
93015,2014-11-26,0,5.4
93016,2014-11-26,0,4.5
93017,2014-11-26,0,4.6
93018,2014-11-26,0,1.3
93019,2014-11-26,0,2.5
93020,2014-11-26,1,0.4
93021,2014-11-26,0,4.6
93022,2014-11-26,0,3.6
93023,2014-11-26,0,6.9
93024,2014-11-26,1,6.3
93025,2014-11-26,0,1.7
93026,2014-11-26,0,4.0
93027,2014-11-26,1,7.0
93028,2014-11-26,1,16.5
93029,2014-11-26,1,4.4
93030,2014-11-24,0,3.8
93031,2014-11-24,0,7.5
93032,2014-11-24,1,6.6
93033,2014-11-24,1,6.1
93034,2014-11-24,0,6.8
93035,2014-11-24,0,1.5
93036,2014-11-24,1,4.0
93037,2014-11-24,1,3.8
93038,2014-11-24,0,4.6
93039,2014-11-24,0,2.6
93040,2014-11-24,1,5.0
93041,2014-11-24,0,7.6
93042,2014-11-24,1,6.4
93043,2014-11-24,1,3.1
93044,2014-11-24,1,4.7
93045,2014-11-24,0,3.0
93046,2014-11-24,1,5.0
93047,2014-11-24,0,0.7
93048,2014-11-24,0,4.5
93049,2014-11-24,1,4.2
93050,2014-11-24,1,6.9
93051,2014-11-24,0,3.6
93052,2014-11-22,1,4.5
93053,2014-11-22,1,2.6
93054,2014-11-22,0,4.1
93055,2014-11-22,1,5.4
