,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
132,San Diego State University (SDSU),State,46200.0,85200.0,45500.0,61800.0,116000.0,158000.0,California
133,Auburn University,State,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0,Southern
134,Washington State University (WSU),State,45300.0,84700.0,43600.0,59000.0,113000.0,162000.0,Western
135,"California State University, Long Beach (CSULB)",State,45100.0,84700.0,47400.0,62500.0,113000.0,154000.0,California
136,Iowa State University,State,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0,Midwestern
137,University of Delaware,State,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0,Southern
138,University of Colorado - Denver,State,46100.0,84400.0,46400.0,58600.0,105000.0,144000.0,Western
139,"California State University, East Bay (CSUEB)",State,49200.0,84300.0,46000.0,62400.0,115000.0,155000.0,California
140,State University of New York (SUNY) at Farmingdale,State,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0,Northeastern
141,University of Minnesota,State,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0,Midwestern
142,Arizona State University (ASU),State,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0,Western
143,"University of California, Santa Cruz (UCSC)",State,44700.0,84100.0,46100.0,62000.0,121000.0,165000.0,California
144,"Indiana University (IU), Bloomington",State,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0,Midwestern
145,University of Iowa (UI),State,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0,Midwestern
146,Ohio State University (OSU),State,44900.0,83700.0,45500.0,60700.0,116000.0,162000.0,Midwestern
147,North Carolina State University (NCSU),State,47200.0,83300.0,49200.0,64800.0,112000.0,153000.0,Southern
148,Oregon State University (OSU),State,45100.0,83300.0,46900.0,64000.0,113000.0,146000.0,Western
149,University of Utah,State,45400.0,83200.0,43000.0,58400.0,116000.0,148000.0,Western
150,"University of Nevada, Reno (UNR)",State,46500.0,82900.0,41900.0,54600.0,113000.0,143000.0,Western
151,University of Oklahoma,State,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0,Southern
152,University of Arkansas,State,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0,Southern
153,University of Vermont (UVM),State,44800.0,82700.0,44700.0,58000.0,122000.0,194000.0,Northeastern
154,University of Alabama at Huntsville (UAH),State,43100.0,82700.0,46100.0,67800.0,106000.0,132000.0,Southern
155,"California State University, Sacramento (CSUS)",State,47800.0,82400.0,42900.0,59600.0,111000.0,154000.0,California
156,University of Idaho,State,44900.0,82000.0,43000.0,56700.0,104000.0,142000.0,Western
157,University of Illinois at Chicago,State,47500.0,81700.0,44700.0,58800.0,110000.0,146000.0,Midwestern
158,State University of New York (SUNY) at Buffalo,State,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0,Northeastern
